area_marla,bedroom,bath,type_enc,purpose_enc,city_enc,price_lakh
20.0,5.0,6.0,2,1,9,695.0
8.0,5.0,6.0,2,1,9,265.0
10.0,5.0,7.0,2,1,9,254.99999999999997
5.0,3.0,4.0,2,1,9,198.0
5.0,3.0,4.0,2,1,9,110.00000000000001
20.0,5.0,6.0,2,1,9,645.0
20.0,5.0,6.0,2,1,9,520.0
20.0,5.0,6.0,2,1,9,935.0
20.0,5.0,6.0,2,1,9,495.0
20.0,6.0,6.0,2,1,9,775.0
5.0,4.0,4.0,2,1,9,200.0
5.0,4.0,4.0,2,1,9,215.0
5.0,4.0,5.0,2,1,9,175.0
10.0,5.0,6.0,2,1,9,188.0
10.0,5.0,6.0,2,1,9,315.0
28.0,6.0,6.0,2,1,9,1040.0
5.0,6.0,5.0,2,1,9,165.0
20.0,5.0,6.0,2,1,9,675.0
6.0,3.0,4.0,2,1,9,185.0
5.0,3.0,5.0,2,1,9,160.0
5.0,3.0,3.0,2,1,9,183.0
5.0,3.0,4.0,2,1,9,220.00000000000003
10.0,6.0,6.0,2,1,9,355.0
5.0,4.0,5.0,2,1,9,210.0
7.0,2.0,2.0,2,1,9,195.0
20.0,5.0,6.0,2,1,9,810.0
10.0,5.0,6.0,2,1,9,625.0
5.0,3.0,4.0,2,1,9,220.00000000000003
20.0,5.0,6.0,2,1,9,620.0
10.0,4.0,6.0,2,1,9,445.0
10.0,5.0,6.0,2,1,9,425.0
10.0,5.0,7.0,2,1,9,335.0
7.0,4.0,5.0,2,1,9,350.0
10.0,5.0,6.0,2,1,9,330.0
10.0,4.0,4.0,2,1,9,545.0
10.0,6.0,6.0,2,1,9,310.0
20.0,5.0,6.0,2,1,9,675.0
5.0,4.0,5.0,2,1,9,200.0
20.0,6.0,7.0,2,1,9,675.0
5.0,4.0,4.0,2,1,9,120.0
10.0,3.0,3.0,1,1,9,290.0
10.0,5.0,6.0,2,1,9,292.0
12.0,5.0,6.0,2,1,9,550.0
5.0,4.0,4.0,2,1,9,220.00000000000003
20.0,5.0,6.0,2,1,9,1200.0
10.0,4.0,5.0,2,1,9,349.0
20.0,5.0,6.0,2,1,9,625.0
6.0,3.0,4.0,2,1,9,190.0
10.0,6.0,6.0,2,1,9,499.0
7.0,6.0,6.0,2,1,9,160.0
5.0,3.0,3.0,2,1,9,190.0
10.0,4.0,4.0,2,1,9,520.0
20.0,5.0,6.0,2,1,9,850.0
10.0,5.0,6.0,2,1,9,310.0
